title,layout,URL,address,section_name,region_name,lng,lat,price,area
南昌路二段2巷此廣告訊息非本人上架!,1房1廳1衛,https://rent.591.com.tw/rent-detail-4758413.html,台北市中正區南昌路二段2巷188號,中正,台北市,121.5239496,25.0243760,13000,14.9
南京東路三段303巷此廣告訊息非本人上架!,1房1廳1衛,https://rent.591.com.tw/rent-detail-4758414.html,台北市松山區南京東路三段303巷6弄8號,松山,台北市,121.5474377,25.0523260,15000,15.1
"忠孝東路五段元大101近捷運,生活機能佳,後棟靜巷",,https://rent.591.com.tw/rent-detail-4726498.html,台北市信義區忠孝東路五段238號,信義,台北市,121.5720330,25.0407580,26000,12.5
民生東路四段80巷全新酒店式公寓、環境清幽近長庚,1房1廳1衛,https://rent.591.com.tw/rent-detail-4720903.html,台北市松山區民生東路四段80巷,松山,台北市,121.5530469,25.0572220,54400,17
吉林路**吉林路絕美新屋**臨近捷運站交通便利,2房1廳1衛,https://rent.591.com.tw/rent-detail-4754619.html,台北市中山區吉林路258號,中山,台北市,121.5300650,25.0601734,38000,25.2
"忠孝西路一段套房出租飯店住房品質,平價收費,絕對物超",,https://rent.591.com.tw/rent-detail-4724463.html,台北市中正區忠孝西路一段,中正,台北市,121.5158054,25.0466888,19000,8
吳興街269巷信義區吳興街全新溫馨風裝潢套房,,https://rent.591.com.tw/rent-detail-4715898.html,台北市信義區吳興街269巷,信義,台北市,121.5644866,25.0271674,9000,6
復興北路320巷溫馨公寓出租近捷運中山國中站,3房1廳2衛,https://rent.591.com.tw/rent-detail-4722937.html,台北市中山區復興北路320巷21號,中山,台北市,121.5426042,25.0595224,32000,30
基隆路二段基泰國際酒店式公寓月租－裝修期間好住處,2房2廳1衛,https://rent.591.com.tw/rent-detail-4698882.html,台北市信義區基隆路二段179號,信義,台北市,121.5537167,25.0250678,67000,32
大直街67巷實踐大學旁全新裝潢附傢俱獨立套房,,https://rent.591.com.tw/rent-detail-4734588.html,台北市中山區大直街67巷,中山,台北市,121.5476000,25.0837401,12000,5
西藏路<U+FEFF>國語實小學區,2房1廳1衛,https://rent.591.com.tw/rent-detail-4691742.html,台北市中正區西藏路,中正,台北市,121.5059620,25.0303502,24000,20
"吉利街320巷石牌捷運,新裝潢雙人套房,近榮總北護陽明",,https://rent.591.com.tw/rent-detail-4748476.html,台北市北投區吉利街320巷,北投,台北市,121.5113657,25.1175279,8500,5
文昌街28t東門市場仁愛路新生南永康臨沂街,2房1廳1衛,https://rent.591.com.tw/rent-detail-4693930.html,台北市信義區文昌街,信義,台北市,121.5579880,25.0321716,23528,20
南京東路三段256巷近捷運南京東路站鄰敦化國中水泥套房,,https://rent.591.com.tw/rent-detail-4732719.html,台北市松山區南京東路三段256巷,松山,台北市,121.5447061,25.0502060,15000,7
通化街38巷27A-B安和郵局101信義安和,2房1廳1衛,https://rent.591.com.tw/rent-detail-4664208.html,台北市大安區通化街38巷,大安,台北市,121.5536512,25.0309229,23927,22
康樂街自租-東湖全新裝潢優值3房生活機能佳,3房2廳2衛,https://rent.591.com.tw/rent-detail-4734582.html,台北市內湖區康樂街,內湖,台北市,121.6240522,25.0833832,35800,42
塔悠路出租河堤景觀套房(含水、瓦斯、管理費),,https://rent.591.com.tw/rent-detail-4715956.html,台北市松山區塔悠路27號,松山,台北市,121.5716494,25.0505060,13000,7
民生東路二段147巷捷運行天宮站2、3號出口~只要兩分鐘,,https://rent.591.com.tw/rent-detail-4695088.html,台北市中山區民生東路二段147巷,中山,台北市,121.5348202,25.0591962,13000,8
基隆路二段基泰國際商務大兩房公寓_新春優惠包月方案,2房2廳1衛,https://rent.591.com.tw/rent-detail-4698864.html,台北市信義區基隆路二段177號,信義,台北市,121.5538253,25.0252111,73000,40
中山北路二段頂級客最愛二房~住辦兩用~不租可惜超便利,2房2廳2衛,https://rent.591.com.tw/rent-detail-4709240.html,台北市中山區中山北路二段,中山,台北市,121.5228708,25.0600389,50000,44
"通化街38巷安和路郵局信義安和站,信義商圈,整層出租",3房2廳2衛,https://rent.591.com.tw/rent-detail-4719180.html,台北市大安區通化街38巷,大安,台北市,121.5536512,25.0309229,40000,42
忠孝東路五段時尚2房→一看就愛→請來電鑑賞,2房1廳1衛,https://rent.591.com.tw/rent-detail-4728809.html,台北市信義區忠孝東路五段,信義,台北市,121.5732799,25.0410009,41000,20.3
豐年路一段＊北投豐年路＊近捷運二房公寓～,2房1廳1衛,https://rent.591.com.tw/rent-detail-4744190.html,台北市北投區豐年路一段,北投,台北市,121.4975483,25.1341267,17000,17
南京東路二段近捷運通風獨立門牌代收垃圾舒適電梯大套房,,https://rent.591.com.tw/rent-detail-4757290.html,台北市中山區南京東路二段7號,中山,台北市,121.5282421,25.0523127,16000,15
小東街士林區劍潭文林路捷陽明戲院銘傳大學小東街,,https://rent.591.com.tw/rent-detail-4428921.html,台北市士林區小東街20號,士林,台北市,121.5262134,25.0890736,7800,6
林森北路獨身貴族精品小豪宅,,https://rent.591.com.tw/rent-detail-4753863.html,台北市中山區林森北路121號,中山,台北市,121.5251558,25.0508214,18000,9
八德路四段91巷八德路四段-精緻小套房(近南京三民捷運站,,https://rent.591.com.tw/rent-detail-4646024.html,台北市松山區八德路四段91巷,松山,台北市,121.5608426,25.0491058,18000,8
中山北路三段公園樹海旁優質套房首選,,https://rent.591.com.tw/rent-detail-4740154.html,台北市中山區中山北路三段32號,中山,台北市,121.5219987,25.0654654,12000,8.5
通化街171巷生活便捷通化商圈獨立套房,,https://rent.591.com.tw/rent-detail-4695052.html,台北市大安區通化街171巷,大安,台北市,121.5548697,25.0277447,13500,9
忠孝東路三段便宜好停大車位忠孝新生全自動機械停車位,類型：機械式,https://rent.591.com.tw/rent-detail-4727480.html,台北市大安區忠孝東路三段,大安,台北市,121.5382163,25.0417726,4500,5.8
吳興街506巷近101世貿~優質便宜~歡迎女性單身正職,,https://rent.591.com.tw/rent-detail-2399891.html,台北市信義區吳興街506巷,信義,台北市,121.5686452,25.0229980,8000,8
康樂街186巷電梯獨立套房，門禁管制，有陽台，可開伙。,,https://rent.591.com.tw/rent-detail-4719878.html,台北市內湖區康樂街186巷,內湖,台北市,121.6202345,25.0767740,14000,10
